What,Where,When,How_Much
Koncert: RaphaÃ«lis Consort.,"Husum Kirke, Korsager AllÃ© 14, BrÃ¸nshÃ¸j","Thur 8 February 2018, 7 pm  - 10 pm.", 

Canellakis &amp; Zimmermann.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Thur 8 February 2018, 7.30 pm.",(Entrance fee: 85 - 497 DKK)

'Bach to Violin'.,"Reformert Kirke, Gothersgade 111, Copenhagen K","Thur 8 February 2018, 7.30 pm.",(Entrance fee: 100 DKK)

"Fastelavn ""Kom frit frem"".","Telefonfabrikken - Gladsaxe Kulturhus, Telefonvej 8, SÃ¸borg","Thur 8 February 2018, 7.30 pm  - 10 pm.",(Entrance fee: Medlemmer gratis gÃ¦ster 50 DKK.)

Alex Vargas.,"Royal Arena, Hannemanns AllÃ© 18-20, Copenhagen S","Thur 8 February 2018, 8 pm.","(Entrance fee: 290,00 dkk - 395,00 dkk)"

Ole Kock Hansen A Very Big Band Feat. Marie Carmen Koppel &amp; Benjamin Koppel.,"PrÃ¸vehallen, PorcelÃ¦nstorvet 4, Valby","Thur 8 February 2018, 8 pm.",(Entrance fee: 160 - 195 DKK)

Electric Guitars.,"Kulturhuset Viften, RÃ¸dovre Parkvej 130, RÃ¸dovre","Thur 8 February 2018, 8 pm.",(Entrance fee)

Catbird.,"Kulturhuset PilegÃ¥rden, BrÃ¸nshÃ¸jvej 17, BrÃ¸nshÃ¸j","Thur 8 February 2018, 8 pm  - 10 pm.",(Entrance fee: 135 DKK.)

SEXTILE pÃ¥ Loppen 8. februar.,"Loppen, Christiania, BÃ¥dsmandsstrÃ¦de 43, Copenhagen K","Thur 8 February 2018, 8.30 pm.",(Entrance fee: 60 DKK)

4 prices numbered.,"True Stories, C/o Nordisk Film, Mosedalvej 14, Valby","Fri 9 February 2018, 2 pm.",(Entrance fee: 120 - 420 DKK)

"Jesper Thilo ""New Quintet"".","Jazzcup, Gothersgade 107, Copenhagen K","Fri 9 February 2018, 3.30 pm.","(Entrance fee: 120,-(100,-))"

"ALL SWING &amp; BOSSA, Ole Schmidt, tenorsax og JÃ¸rgen Schaarup, guitar.","Argentinsk Vinbar Tango y Vinos, Herluf Trolles gade 9, Copenhagen K","Fri 9 February 2018, 4 pm.", 


Fredagskoncert.,"Trinitatis Kirke, LandemÃ¦rket 2, Copenhagen K","Fri 9 February 2018, 4.30 pm  - 5.30 pm.", 

TÃ¦t pÃ¥ Anne Dorte og Maria.,"Restaurant BellahÃ¸j, BellahÃ¸jvej 20, BrÃ¸nshÃ¸j","Fri 9 February 2018, 6 pm.",(Entrance fee)

Koppel Kornucopia.,"Bremen Teater, Nyropsgade 39-41, Copenhagen V","Fri 9 February 2018, 6 pm  & 9 pm.",(Entrance fee: 315 - 375 DKK)

Burhan g.,"Kongekilden, Enghavevej 8, Dyrehaven, Klampenborg","Fri 9 February 2018, 7 pm.","(Entrance fee: 1320,00 DKK)"

Dropkick Murphys.,"Valby Hallen, Julius Andersens Vej 3, Copenhagen SV","Fri 9 February 2018, 7 pm.","(Entrance fee: 430,00 DKK)"

Canellakis &amp; Zimmermann.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Fri 9 February 2018, 7.30 pm.",(Entrance fee: 85 - 497 DKK)

OMD - Andy McCluskey and Paul Humphreys.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Fri 9 February 2018, 8 pm.",(Entrance fee: 270 DKK)

Ramslag Folkets Hus Spillefolk.,"Metronomen, GodthÃ¥bsvej 33, Frederiksberg","Fri 9 February 2018, 8 pm.",(Entrance fee: Kr 30)

Skinz (DK).,"Ideal Bar, Enghavevej 40, Copenhagen V","Fri 9 February 2018, 8 pm.",(Entrance fee)

New Kids + Shadow Ray // Vinterjazz 2018.,"Karens Minde Kulturhus, Wagnersvej 19, Copenhagen SV","Fri 9 February 2018, 9 pm.",(Entrance fee: Forsalg: 50 DKK. (stud. 30 DKK.))

Heimat.,"Templet, Jernbanevej 16, Kongens Lyngby","Fri 9 February 2018, 9 pm.","(Entrance fee: 90,00 DKK)"

Nordiske Folketoner.,"Helligaandskirken, Niels Hemmingsens Gade 5, Copenhagen K","Fri 9 February 2018, 9 pm.",(Free admission)

OrgelmatinÃ©.,"Vor Frue Kirke - KÃ¸benhavns Domkirke, NÃ¸rregade 8, Copenhagen K","Sat 10 February 2018, 12 am.",(Free admission)

VinÃ¸s MatinÃ©.,"Helligaandskirken, Niels Hemmingsens Gade 5, Copenhagen K","Sat 10 February 2018, 2 pm  - 3.30 pm.", 

"Snorre Kirk ""Nordic Quintet"".","Jazzcup, Gothersgade 107, Copenhagen K","Sat 10 February 2018, 2.30 pm.","(Entrance fee: 120,-(100,-))"

Cannibal Corpse (US) &amp; Black Dahlia Murder (US).,"VEGA, Enghavevej 40, Copenhagen V","Sat 10 February 2018, 6.30 pm.",(Entrance fee)

Prime Is Coming.,"Bremen Teater, Nyropsgade 39-41, Copenhagen V","Sat 10 February 2018, 6.30 pm.","(Entrance fee: 100,00 DKK)"

Dr big band feat. Claudio Campagnol.,"Taastrup Teater & Musikhus, Kjeld Abells Plads 1, Taastrup","Sat 10 February 2018, 8 pm.",(Entrance fee: 175 Kr.)

Aura - Can`t Steal The Music Tour.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Sat 10 February 2018, 8 pm.",(Entrance fee: 220 - 270 DKK)

Sko/Torp.,"Kulturhuset Viften, RÃ¸dovre Parkvej 130, RÃ¸dovre","Sat 10 February 2018, 8 pm.","(Entrance fee: 280,00 DKK)"


Marcus &amp; Martinus - Udsolgt/venteliste.,"Royal Arena, Hannemanns AllÃ© 18-20, Copenhagen S","Sat 10 February 2018, 8 pm.","(Entrance fee: 400,00 dkk - 650,00 dkk)"

Hjalmer.,"Templet, Jernbanevej 16, Kongens Lyngby","Sat 10 February 2018, 9 pm.",(Entrance fee)

Malene Mortensens Supertrio.,"Kulturhuset Viften, RÃ¸dovre Parkvej 130, RÃ¸dovre","Sun 11 February 2018, 12 am.", 

Kastelskirkens SÃ¸ndagskoncerter.,"Kastelskirken, Kastellet 50, Copenhagen Ã˜","Sun 11 February 2018, 2 pm.",(Free admission)

Unge spiller klassisk - intimkoncert.,"Metronomen, GodthÃ¥bsvej 33, Frederiksberg","Sun 11 February 2018, 3 pm  - 4 pm.","(Entrance fee: 50,00 DKK i DÃ¸ren)"

"DR Big Band prÃ¦senterer ""Jazz guld"".","Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Sun 11 February 2018, 4 pm.",(Entrance fee: 123 - 225 DKK)

Lied-koncert.,"Mariendals Kirke, Nitivej 17, Frederiksberg","Sun 11 February 2018, 4 pm  - 5 pm.", 

Koncert sang orgel.,"VejleÃ¥ Kirke, IshÃ¸j Boulevard 1, IshÃ¸j","Sun 11 February 2018, 4 pm  - 5 pm.", 

Accept (DE).,"VEGA, Enghavevej 40, Copenhagen V","Sun 11 February 2018, 7.30 pm.","(Entrance fee: 250,00 DKK)"

Verdi Nights.,"Det kgl. Danske Musikkonservatoriums Koncertsal, Julius Thomsensgade 1, Frederiksberg C","Sun 11 February 2018, 7.30 pm.","(Entrance fee: 450,00 dkk - 520,00 dkk)"

Kygo.,"Royal Arena, Hannemanns AllÃ© 18-20, Copenhagen S","Sun 11 February 2018, 8 pm.","(Entrance fee: 350,00 dkk - 450,00 dkk)"

Ghostpoet.,"VEGA, Enghavevej 40, Copenhagen V","Sun 11 February 2018, 8 pm.",(Entrance fee: 180 DKK)

The Hunna + Coasts.,"Pumpehuset, StudiestrÃ¦de 52, Copenhagen V","Sun 11 February 2018, 8 pm.", 

Fastelavnsjazz.,"Store Magleby Kirke, Kirkevej 2, DragÃ¸r","Mon 12 February 2018, 2.30 pm  - 3.40 pm.", 

Nils Frahm (de).,"VEGA, Enghavevej 40, Copenhagen V","Mon 12 February 2018, 8 pm.",(Entrance fee: 270 DKK)

Pale Waves (UK).,"Ideal Bar, Enghavevej 40, Copenhagen V","Tues 13 February 2018, 8 pm.","(Entrance fee: 135,00 DKK)"

Khruangbin (us).,"Pumpehuset, StudiestrÃ¦de 52, Copenhagen V","Tues 13 February 2018, 8 pm.", 

Poul Krebs med band.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Tues 13 February 2018, 8 pm.",(Entrance fee: 315 - 365 DKK)

August Alsina (US).,"VEGA, Enghavevej 40, Copenhagen V","Tues 13 February 2018, 8 pm.","(Entrance fee: 230,00 DKK)"

Open mic for RBU.,"Huset KBH MusikcafÃ©en, RÃ¥dhusstrÃ¦de 13, 3. sal, Copenhagen K","Tues 13 February 2018, 8 pm  - 10.30 pm.",(Entrance fee: 25 DKK)


Debutkoncert - Alexander McKenzie.,"Det kgl. Danske Musikkonservatoriums Koncertsal, Julius Thomsensgade 1, Frederiksberg C","Wed 14 February 2018, 7.30 pm.",(Free admission)

JhenÃ© Aiko (US).,"VEGA, Enghavevej 40, Copenhagen V","Wed 14 February 2018, 8 pm.","(Entrance fee: 245,00 DKK)"

KODO - One Earth Tour 2018.,"Det kgl. Danske Musikkonservatoriums Koncertsal, Julius Thomsensgade 1, Frederiksberg C","Thur 15 February 2018, 8 pm.",(Entrance fee: 340 - 450 DKK)

Randy Newman - Dark Matter Tour.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Thur 15 February 2018, 8 pm.",(Entrance fee: 470 - 545 DKK)

David Besiakov Group.,"K-I-B, Kulturhuset Islands Brygge, Islands Brygge 18, Copenhagen S","Thur 15 February 2018, 8 pm  - 10 pm.",(Entrance fee: 80kr. i forsalg - 90kr. i dÃ¸ren)

Burhan G.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Thur 15 February 2018, 9 pm.",(Entrance fee: 370 DKK)

"Dorado &amp; Amati Schmitt Quintette ""Masters of Gypsy Jazz"".","Jazzcup, Gothersgade 107, Copenhagen K","Fri 16 February 2018, 3.30 pm.","(Entrance fee: 120,-(100,-))"

"ALL SWING &amp; BOSSA, Ole Schmidt, tenorsax og JÃ¸rgen Schaarup, guitar.","Argentinsk Vinbar Tango y Vinos, Herluf Trolles gade 9, Copenhagen K","Fri 16 February 2018, 4 pm.", 

Fredagskoncert: Orgel.,"Trinitatis Kirke, LandemÃ¦rket 2, Copenhagen K","Fri 16 February 2018, 4.30 pm  - 5.30 pm.", 

Cphphil Violinstjerne.,"Det kgl. Danske Musikkonservatoriums Koncertsal, Julius Thomsensgade 1, Frederiksberg C","Fri 16 February 2018, 7.30 pm.",(Entrance fee: 210-410 DKK + evt. gebyr)

CopenOpen poetry slam.,"Huset KBH MusikcafÃ©en, RÃ¥dhusstrÃ¦de 13, 3. sal, Copenhagen K","Fri 16 February 2018, 7.30 pm  - 10 pm.",(Entrance fee: 30 DKK)

Dodo &amp; the Dodo's.,"Taastrup Teater & Musikhus, Kjeld Abells Plads 1, Taastrup","Fri 16 February 2018, 8 pm.",(Entrance fee: 275 DKK. + gebyr)

SÃ¸s Fenger.,"IshÃ¸j Kultur CafÃ©, IshÃ¸j Ã˜stergade 28, IshÃ¸j","Fri 16 February 2018, 8 pm.",(Entrance fee: 200 DKK)

Nils Frahm (de).,"VEGA, Enghavevej 40, Copenhagen V","Fri 16 February 2018, 8 pm.",(Entrance fee: 270 DKK)

Dansefest Med Blast.,"K-I-B, Kulturhuset Islands Brygge, Islands Brygge 18, Copenhagen S","Fri 16 February 2018, 8 pm.",(Entrance fee: 225 DKK + gebtr / 250 DKK. i dÃ¸ren)

Corroded.,"Pumpehuset, StudiestrÃ¦de 52, Copenhagen V","Fri 16 February 2018, 8 pm.","(Entrance fee: 195,00 DKK)"

Carl Emil Petersen - Solo.,"Kulturhuset Viften, RÃ¸dovre Parkvej 130, RÃ¸dovre","Fri 16 February 2018, 8 pm.",(Entrance fee)

Zier Romme Larsen Kvartet // Vinterjazz 2018.,"Karens Minde Kulturhus, Wagnersvej 19, Copenhagen SV","Fri 16 February 2018, 9 pm.",(Entrance fee: Forsalg: 60 - 80 DKK // I dÃ¸ren: 80 - 100 DKK)

Dorado Schmitt All Star Quintet - gypsy/jazz.,"Bartof Station, Solbjergvej 3, Frederiksberg","Fri 16 February 2018, 9 pm.","(Entrance fee: 165,00 dkk - 295,00 dkk)"

Guds nÃ¥de er en vintergÃ¦k.,"Helligaandskirken, Niels Hemmingsens Gade 5, Copenhagen K","Fri 16 February 2018, 9 pm.",(Free admission)


Maleek Berry (NG/UK).,"Rust, Guldbergsgade 8, Copenhagen N","Sat 17 February 2018, kl. 00.", 

OrgelmatinÃ©.,"Vor Frue Kirke - KÃ¸benhavns Domkirke, NÃ¸rregade 8, Copenhagen K","Sat 17 February 2018, 12 am.",(Free admission)

Wallace/Wamberg/Petri Trio.,"Jazzcup, Gothersgade 107, Copenhagen K","Sat 17 February 2018, 2.30 pm.","(Entrance fee: 100,-(80,-))"

Bachs genbrug / Concerto Copenhagen.,"Garnisonskirken, Sankt AnnÃ¦ Plads 4, Copenhagen K","Sat 17 February 2018, 4 pm.",(Entrance fee: DKK. 200/stud. med gyldigt Ã¥rskort DKK. 50)

Jazz: Moderne Big Bands.,"GXU - Gladsaxe 10. klasse og ungdomsskole (tidl. Marienlyst Skole), Gladsaxevej 198, SÃ¸borg","Sat 17 February 2018, 7 pm.", 

Lady Gaga - Joanne World Tour.,"Royal Arena, Hannemanns AllÃ© 18-20, Copenhagen S","Sat 17 February 2018, 7.30 pm.","(Entrance fee: 430,00 dkk - 800,00 dkk)"

Det Ã…bne Hus spiller op til folkedans pÃ¥ Stades Krog 9.,"Lyngby SognegÃ¥rd, Stades Krog 9, Kongens Lyngby","Sat 17 February 2018, 8 pm.",(Entrance fee: 40 DKK)

Ester Brohus.,"Kulturhuset Viften, RÃ¸dovre Parkvej 130, RÃ¸dovre","Sat 17 February 2018, 8 pm.",(Entrance fee)

TOTO - 40 Trips Around The Sun Tour.,"Forum Copenhagen, Julius Thomsens Plads 1, Frederiksberg C","Sat 17 February 2018, 8 pm.","(Entrance fee: 435,00 dkk - 735,00 dkk)"

Girls in Airports.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Sat 17 February 2018, 8 pm.",(Entrance fee: 145 DKK)

Electric Guitars.,"Templet, Jernbanevej 16, Kongens Lyngby","Sat 17 February 2018, 9 pm.","(Entrance fee: 175,00 DKK)"

Roben og Knud.,"Amager Bio, Ã˜resundsvej 6, Copenhagen S","Sat 17 February 2018, 9 pm.",(Entrance fee)

New Orleans Remixed - Beats and Beads feat. Rosa Lux/Sasha Masakowski/Johan Bylling Lang (US/DK).,"K-I-B, Kulturhuset Islands Brygge, Islands Brygge 18, Copenhagen S","Sat 17 February 2018, 9 pm  - 11 pm.",(Entrance fee: 100 DKK + gebyr i forslag - 125 DKK i dÃ¸ren)

1/2 12 Koncerter.,"Metronomen, GodthÃ¥bsvej 33, Frederiksberg","Sun 18 February 2018, 11.30 am.",(Entrance fee: 90 DKK. medlemmer af Venneforening 50 DKK)

Jazz Menu - ForÃ¥r 2018.,"IshÃ¸j Kultur CafÃ©, IshÃ¸j Ã˜stergade 28, IshÃ¸j","Sun 18 February 2018, 1 pm.",(Entrance fee: 110 DKK)

Kastelskirkens SÃ¸ndagskoncerter.,"Kastelskirken, Kastellet 50, Copenhagen Ã˜","Sun 18 February 2018, 2 pm.",(Free admission)

Katrine Bille med band.,"Kulturhuset Viften, RÃ¸dovre Parkvej 130, RÃ¸dovre","Sun 18 February 2018, 2 pm.","(Entrance fee: 115,00 DKK)"

Daniel Waade.,"Vor Frelsers Kirke, Sankt AnnÃ¦ Gade 29, Copenhagen K","Sun 18 February 2018, 3 pm.",(Free admission)

Emil Gryesten: Pianist. 5. koncert i Lyngby TaarbÃ¦k Musikforening.,"Stadsbiblioteket i Lyngby, Lyngby Hovedgade 28, Kongens Lyngby","Sun 18 February 2018, 4 pm.",(Entrance fee: 130 DKK.)

ForfÃ¸rende flÃ¸jtetoner.,"Husumvold Kirke, Gadelandet 25, BrÃ¸nshÃ¸j","Sun 18 February 2018, 4 pm  - 9 pm.", 


Wiener Johann Strauss Konzert-Gala.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Mon 19 February 2018, 7.30 pm.",(Entrance fee: 300 - 890 DKK)

Sinne Eeg.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Mon 19 February 2018, 8 pm.",(Entrance fee: 245 DKK)

De 12 Tenorer.,"Operaen, Ekvipagemestervej 10, Copenhagen K","Tues 20 February 2018, 8 pm.","(Entrance fee: 125,00 dkk - 520,00 dkk)"

"Kammermusikforeningen af 1911, Copenhagen Piano Quartet.","Garnisonskirken, Sankt AnnÃ¦ Plads 4, Copenhagen K","Wed 21 February 2018, 7.30 pm.",(Entrance fee: Ikke-medlemmer 130 DKK.)

Studiekoncert i Jesuskirken.,"Jesuskirken, KirkevÃ¦nget 5 A, Valby","Wed 21 February 2018, 7.30 pm  - 8.30 pm.", 

Belle &amp; Sebastian.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Wed 21 February 2018, 8 pm.",(Entrance fee: 285 DKK)

Barbara Moleko.,"Taastrup Teater & Musikhus, Kjeld Abells Plads 1, Taastrup","Wed 21 February 2018, 8 pm.",(Entrance fee: 235 DKK + evt. gebyr)

Musikalsk underholdning med Marete Ruud Hansen.,"Glostrup Bibliotek, KildevÃ¦ldets AllÃ© 5, Glostrup","Thur 22 February 2018, 1.30 pm.",(Entrance fee: 30 DKK.)

Jens Jacob Tychsen og Henrik Krogsgaard.,"Restaurant Beghuset, Strandgade 14, DragÃ¸r","Thur 22 February 2018, 6 pm.","(Entrance fee: 435,- inkl. Tapas)"

Syng Sammen Aften.,"Rheumhus, Albjergparken 4, BrÃ¸ndby Strand","Thur 22 February 2018, 7.30 pm.",(Free admission)

Copenhagen Washboard Five.,"Jonstruphus, Jonstrupvangvej 159, VÃ¦rlÃ¸se","Thur 22 February 2018, 7.30 pm.", 

Rejse gennem Danmark.,"Telefonfabrikken - Gladsaxe Kulturhus, Telefonvej 8, SÃ¸borg","Thur 22 February 2018, 7.30 pm  - 10 pm.",(Entrance fee: Medlemmer gratis gÃ¦ster 50 DKK.)

Phil Bates &amp; Band perform the music of E.L.O.,"Kulturhuset Viften, RÃ¸dovre Parkvej 130, RÃ¸dovre","Thur 22 February 2018, 8 pm.","(Entrance fee: 355,00 DKK)"

Stine Bramsen.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Thur 22 February 2018, 8 pm.",(Entrance fee: 195 - 320 DKK)

Koppel - Sonne - Binzer.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Thur 22 February 2018, 9 pm.",(Entrance fee: 345 DKK)

"Morten GrÃ¸nvad ""The End"".","Jazzcup, Gothersgade 107, Copenhagen K","Fri 23 February 2018, 3.30 pm.","(Entrance fee: 120,-(100,-))"

Fredagskoncert: Musik For To Orgler.,"Trinitatis Kirke, LandemÃ¦rket 2, Copenhagen K","Fri 23 February 2018, 4.30 pm  - 5.30 pm.", 

Cphphil MÃ¦gtige Bruckner.,"Det kgl. Danske Musikkonservatoriums Koncertsal, Julius Thomsensgade 1, Frederiksberg C","Fri 23 February 2018, 7.30 pm.",(Entrance fee: 210-410 DKK + evt. gebyr)

"Old World, New World.","Kingos Kirke, Bragesgade 35, Copenhagen N","Fri 23 February 2018, 7.30 pm.", 

ThorbjÃ¸rn Risager.,"Taastrup Teater & Musikhus, Kjeld Abells Plads 1, Taastrup","Fri 23 February 2018, 8 pm.",(Entrance fee: 185 DKK + evt. gebyr)


Paul Harrison Band pÃ¥ 20 Ã¥rs jubilÃ¦umsturnÃ©.,"Baghuset, Sct. Jacobsvej 1, Ballerup","Fri 23 February 2018, 8 pm.",(Entrance fee: 120/80)

Tyga.,"VEGA, Enghavevej 40, Copenhagen V","Fri 23 February 2018, 8 pm.","(Entrance fee: 300,00 DKK)"

Route 66 - 60'er musik - Roosters.,"EllegÃ¥rden, Stavnsholtvej 168, Farum","Fri 23 February 2018, 8.30 pm  - kl. 00.30.",(Entrance fee: 100/140)

Hayseed Dixie.,"Loppen, Christiania, BÃ¥dsmandsstrÃ¦de 43, Copenhagen K","Fri 23 February 2018, 9 pm.",(Entrance fee: 170 DKK)

Banana Republiq feat. Chris Clermont (US).,"K-I-B, Kulturhuset Islands Brygge, Islands Brygge 18, Copenhagen S","Fri 23 February 2018, 9 pm  - 11 pm.",(Entrance fee: 100kr. + gebyr i forsalg - 120kr. i dÃ¸ren)

Mgp 18 Galla - KÃ¸benhavn.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Sat 24 February 2018, 11 am  & 3 pm.",(Entrance fee: 180 DKK)

OrgelmatinÃ©.,"Vor Frue Kirke - KÃ¸benhavns Domkirke, NÃ¸rregade 8, Copenhagen K","Sat 24 February 2018, 12 am.",(Free admission)

Jonathan Siahaan.,"Flintholm Kirke, Junggreensvej 14, Frederiksberg","Sat 24 February 2018, 12.30 am  - 1.30 pm.", 

"""Pepper Spray"".","Jazzcup, Gothersgade 107, Copenhagen K","Sat 24 February 2018, 2.30 pm.","(Entrance fee: 100,-(80,-))"

Koncertserien 24 - koncerter med unge talenter.,"Metronomen, GodthÃ¥bsvej 33, Frederiksberg","Sat 24 February 2018, 4 pm.",(Free admission)

Koncert: Beethoven#2.,"Husum Kirke, Korsager AllÃ© 14, BrÃ¸nshÃ¸j","Sat 24 February 2018, 7 pm  - 10 pm.", 

Ester Brohus.,"StÃ¸berihallen, Titangade 16 A, Copenhagen N","Sat 24 February 2018, 8 pm.",(Entrance fee: 225 DKK)

Sko / torp.,"K-I-B, Kulturhuset Islands Brygge, Islands Brygge 18, Copenhagen S","Sat 24 February 2018, 8 pm.",(Entrance fee: 225 DKK + gebtr / 250 DKK. i dÃ¸ren)

Roxy Jules + Wild Forest.,"Kulturstationen VanlÃ¸se, Frode Jakobsens Plads 4 / Jernbane AllÃ© 38, VanlÃ¸se","Sat 24 February 2018, 8.30 pm.",(Entrance fee: 70 DKK. inkl. gebyr)

Heimatt.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Sat 24 February 2018, 9 pm.",(Entrance fee: 170 DKK)

